2018-05-21,	1.5139,	1.1759,	7.5097,	0.8764,	80.128
2019-01-16,	1.5101,	1.1389,	7.7018,	0.8859,	81.0055
2019-04-08,	1.5042,	1.1246,	7.5561,	0.86183,	78.3215
2019-02-05,	1.4996,	1.1423,	7.6938,	0.87803,	81.8395
2018-08-08,	1.5158,	1.1589,	7.9231,	0.90085,	79.5295
2018-12-05,	1.5076,	1.1354,	7.7848,	0.88885,	80.066
2019-01-07,	1.5281,	1.1445,	7.8421,	0.8972,	79.6895
2018-07-09,	1.5415,	1.1789,	7.7967,	0.88345,	80.9585
2018-09-28,	1.5064,	1.1576,	7.9662,	0.8873,	83.916
2019-01-09,	1.5172,	1.1455,	7.8226,	0.89913,	80.6365
2018-10-05,	1.4862,	1.1506,	7.9033,	0.88165,	84.8835
2019-02-28,	1.5042,	1.1416,	7.6309,	0.85835,	80.8915
2018-06-13,	1.5313,	1.1764,	7.5293,	0.8821,	79.534
2019-04-04,	1.4987,	1.1219,	7.5353,	0.85418,	77.593
2018-07-11,	1.5421,	1.1735,	7.8359,	0.88482,	80.7045
2018-10-09,	1.4861,	1.1435,	7.9185,	0.8768,	85.084
2018-06-07,	1.5313,	1.1836,	7.566,	0.88123,	79.438
2018-11-16,	1.4955,	1.1346,	7.8859,	0.8835,	81.5735
2018-06-21,	1.5381,	1.1538,	7.4977,	0.8737,	78.4145
2018-08-29,	1.5093,	1.166,	7.9626,	0.905,	82.3405
2018-06-04,	1.5148,	1.1737,	7.5166,	0.87673,	78.712
2018-07-27,	1.5193,	1.1625,	7.9454,	0.88823,	79.8465
2018-12-31,	1.5605,	1.145,	7.8751,	0.89453,	79.7298
2019-02-21,	1.4951,	1.1354,	7.6275,	0.86805,	80.7435
2018-11-28,	1.5036,	1.1284,	7.8464,	0.88245,	79.643
2018-08-09,	1.5111,	1.1593,	7.9053,	0.8994,	79.5825
2018-07-20,	1.5443,	1.167,	7.921,	0.89445,	80.321
2018-11-19,	1.5055,	1.1427,	7.9349,	0.89083,	81.8825
2018-12-20,	1.5424,	1.1451,	7.8864,	0.90335,	79.949
2018-11-15,	1.4949,	1.1305,	7.8448,	0.8837,	81.37
2018-10-25,	1.4893,	1.1416,	7.9276,	0.88533,	83.6525
2019-03-01,	1.4971,	1.1383,	7.6332,	0.85968,	80.695
2018-06-27,	1.5443,	1.1616,	7.6649,	0.88173,	79.694
2018-08-24,	1.5143,	1.1588,	7.9326,	0.902,	81.0115
2019-01-28,	1.5115,	1.1418,	7.6997,	0.86888,	81.232
2018-05-29,	1.5058,	1.1558,	7.4174,	0.87143,	78.406
2018-11-30,	1.5116,	1.1359,	7.8897,	0.89068,	79.0815
2019-01-17,	1.5153,	1.1396,	7.7167,	0.8826,	80.9765
2019-01-25,	1.5107,	1.1346,	7.6699,	0.8658,	80.634
2019-02-11,	1.5005,	1.1309,	7.6781,	0.87615,	80.448
2018-06-11,	1.5348,	1.179,	7.5518,	0.8818,	79.498
2018-07-24,	1.5393,	1.1706,	7.9561,	0.89178,	80.71
2018-11-27,	1.5018,	1.1328,	7.8708,	0.88748,	80.162
2018-08-15,	1.4833,	1.1321,	7.8298,	0.8913,	79.1635
2018-07-25,	1.5341,	1.169,	7.9047,	0.88855,	80.364
2018-10-08,	1.4915,	1.1478,	7.9502,	0.8801,	85.008
2018-06-06,	1.515,	1.1765,	7.523,	0.87683,	78.731
2018-08-01,	1.5231,	1.1696,	7.9519,	0.8904,	79.9705
2019-04-01,	1.5006,	1.1236,	7.541,	0.85658,	77.8885
2019-01-23,	1.5132,	1.1367,	7.7147,	0.87213,	81.0535
2019-02-22,	1.4976,	1.1325,	7.6109,	0.87263,	80.553
2018-05-15,	1.5253,	1.1883,	7.5606,	0.879,	80.872
2018-09-03,	1.5175,	1.1609,	7.9219,	0.90158,	82.6735
2018-11-26,	1.5011,	1.1363,	7.8869,	0.8844,	80.5385
2019-03-22,	1.5155,	1.1302,	7.5868,	0.8589,	77.958
2018-07-02,	1.5342,	1.1639,	7.7586,	0.8865,	80.0705
2019-02-08,	1.5098,	1.1346,	7.6527,	0.8749,	80.8655
2018-10-23,	1.5047,	1.1478,	7.9613,	0.88103,	84.4435
2018-09-19,	1.5136,	1.1667,	7.9983,	0.88813,	84.4515
2018-08-23,	1.5089,	1.1579,	7.9643,	0.89878,	81.1815
2018-09-27,	1.5301,	1.1707,	8.055,	0.88973,	84.983
2018-05-08,	1.5398,	1.187,	7.5586,	0.8793,	79.63
2018-10-18,	1.5009,	1.1505,	7.9835,	0.87843,	84.685
2019-04-09,	1.4984,	1.1277,	7.5688,	0.86335,	78.188
2018-11-13,	1.4888,	1.1261,	7.8354,	0.86945,	81.839
2019-01-31,	1.5109,	1.1488,	7.701,	0.87578,	81.686
2018-09-11,	1.5231,	1.1574,	7.9499,	0.89068,	84.0965
2018-10-22,	1.5044,	1.1494,	7.9801,	0.88425,	84.546
2018-05-07,	1.5338,	1.1902,	7.5778,	0.8801,	79.904
2019-03-04,	1.5092,	1.1337,	7.5985,	0.85775,	80.363
2019-03-13,	1.5087,	1.1303,	7.5818,	0.8588,	78.662
2018-09-24,	1.5231,	1.1773,	8.0729,	0.89458,	85.5665
2019-02-27,	1.4962,	1.1386,	7.6073,	0.85503,	81.1585
2018-07-10,	1.5382,	1.1713,	7.7767,	0.88338,	80.617
2018-09-04,	1.5234,	1.1562,	7.9079,	0.90058,	82.7665
2019-02-12,	1.4969,	1.1296,	7.6477,	0.87705,	79.801
2018-11-09,	1.4969,	1.1346,	7.8852,	0.87053,	82.264
2019-04-02,	1.4919,	1.12,	7.5265,	0.86,	77.0035
2018-07-23,	1.5387,	1.1716,	7.9508,	0.8917,	80.673
2019-03-20,	1.5125,	1.1354,	7.6014,	0.8628,	78.136
2018-09-12,	1.5137,	1.1585,	7.9588,	0.89028,	83.6705
2019-02-18,	1.4992,	1.1328,	7.6637,	0.8762,	80.8835
2018-08-03,	1.5085,	1.1588,	7.9195,	0.8905,	79.512
2019-03-21,	1.5189,	1.1387,	7.6198,	0.8665,	78.0715
2018-04-20,	1.5557,	1.2309,	7.7449,	0.87608,	81.39
2018-05-10,	1.5172,	1.1878,	7.5419,	0.8781,	79.8905
2019-03-05,	1.5116,	1.1329,	7.5939,	0.86358,	79.936
2018-08-31,	1.5192,	1.1651,	7.9664,	0.8974,	82.7245
2019-01-29,	1.5142,	1.1422,	7.6927,	0.86735,	81.306
2018-10-19,	1.4947,	1.147,	7.9489,	0.8802,	84.123
2018-07-04,	1.5306,	1.1642,	7.7207,	0.88108,	80.027
2018-05-28,	1.5114,	1.1644,	7.4508,	0.87465,	78.528
2018-08-20,	1.4927,	1.142,	7.8351,	0.89478,	79.74
2018-10-17,	1.4957,	1.153,	7.9887,	0.87945,	84.8915
2018-12-18,	1.5249,	1.1377,	7.8455,	0.89715,	80.253
2018-09-05,	1.5263,	1.1582,	7.9128,	0.90328,	83.1035
2018-07-13,	1.5358,	1.1643,	7.8012,	0.88488,	79.732
2018-04-30,	1.5542,	1.2079,	7.6574,	0.8796,	80.1685
2019-02-19,	1.4961,	1.1294,	7.6418,	0.87185,	80.6985
2018-08-30,	1.5117,	1.1692,	7.9887,	0.89758,	82.715
2018-07-26,	1.5287,	1.1716,	7.9464,	0.8886,	80.448
2018-12-06,	1.5229,	1.1351,	7.8239,	0.8893,	80.495
2018-08-28,	1.5128,	1.171,	7.9641,	0.9068,	82.0965
2018-09-20,	1.5174,	1.1769,	8.0559,	0.8859,	84.751
2018-07-12,	1.5369,	1.1658,	7.778,	0.88263,	79.8805
2019-01-04,	1.5328,	1.1403,	7.828,	0.89988,	79.4315
2018-09-06,	1.5338,	1.1634,	7.9451,	0.89824,	83.7175
2019-04-11,	1.5067,	1.1264,	7.5672,	0.86168,	77.6855
2018-12-17,	1.5189,	1.1341,	7.8222,	0.8989,	81.213
2019-03-14,	1.5074,	1.1295,	7.5984,	0.85228,	78.473
2019-01-15,	1.5154,	1.1424,	7.723,	0.89025,	81.231
2018-11-22,	1.5074,	1.1403,	7.9052,	0.88598,	80.6045
2019-02-25,	1.4924,	1.1355,	7.5952,	0.86828,	80.5315
2018-06-15,	1.5223,	1.1596,	7.4463,	0.8732,	78.8705
2018-05-02,	1.5401,	1.2007,	7.6353,	0.8804,	80.0455
2018-11-20,	1.5071,	1.1421,	7.9299,	0.88908,	81.65
2019-04-03,	1.4964,	1.1243,	7.5423,	0.8539,	76.9305
2018-10-29,	1.4917,	1.1381,	7.9195,	0.88788,	83.5595
2018-05-17,	1.5077,	1.1805,	7.5174,	0.8735,	79.9645
2018-11-07,	1.5019,	1.1487,	7.9426,	0.87403,	83.28
2019-02-01,	1.5075,	1.1471,	7.7262,	0.87888,	81.771
2018-10-24,	1.49,	1.1389,	7.909,	0.88233,	83.3255
2018-09-26,	1.5214,	1.1737,	8.0685,	0.8908,	85.219
2018-07-06,	1.5397,	1.1724,	7.7937,	0.88595,	80.746
2018-12-24,	1.5506,	1.1408,	7.873,	0.90038,	80.019
2018-05-16,	1.5161,	1.1784,	7.5137,	0.87418,	79.8925
2019-01-30,	1.5111,	1.1429,	7.6767,	0.87341,	81.351
2019-02-26,	1.5024,	1.1361,	7.6077,	0.86055,	80.853
2018-08-27,	1.5182,	1.1633,	7.9396,	0.90365,	81.623
